月份,业务线,费用
1月,SX,0
1月,DX,1800
1月,IR,0
2月,SX,0
2月,DX,0
2月,IR,0
3月,SX,0
3月,DX,0
3月,IR,0
4月,SX,0
4月,DX,0
4月,IR,0
