日期,时间,分区,使用量,year,month,Time,Used,All,使用率
2023/3/24,10:00:20,ABUD/vi_irdc,144/256,2023,3,10,144,256,56.25
2023/3/24,10:00:20,SG2/IRDCSG,40/40,2023,3,10,40,40,100
2023/3/24,14:00:18,SH40/IRDC_Share,376/376,2023,3,14,376,376,100
2023/3/24,14:00:18,ABUD/vi_irdc,160/256,2023,3,14,160,256,62.5
2023/3/24,14:00:18,SG2/IRDCSG,40/40,2023,3,14,40,40,100
2023/3/24,18:00:20,SH40/IRDC_Share,376/376,2023,3,18,376,376,100
2023/3/24,18:00:20,ABUD/vi_irdc,160/256,2023,3,18,160,256,62.5
2023/3/24,18:00:20,SG2/IRDCSG,40/40,2023,3,18,40,40,100
2023/3/24,22:00:21,SH40/IRDC_Share,369/376,2023,3,22,369,376,98.14
2023/3/24,22:00:21,ABUD/vi_irdc,160/256,2023,3,22,160,256,62.5
2023/3/24,22:00:21,SG2/IRDCSG,40/40,2023,3,22,40,40,100
2023/3/25,10:00:19,SH40/IRDC_Share,273/376,2023,3,10,273,376,72.61
2023/3/25,10:00:19,ABUD/vi_irdc,160/256,2023,3,10,160,256,62.5
2023/3/25,10:00:19,SG2/IRDCSG,40/40,2023,3,10,40,40,100
2023/3/25,18:00:23,SH40/IRDC_Share,241/376,2023,3,18,241,376,64.1
2023/3/25,18:00:23,ABUD/vi_irdc,208/256,2023,3,18,208,256,81.25
2023/3/25,18:00:23,SG2/IRDCSG,40/40,2023,3,18,40,40,100
2023/3/25,22:00:20,SH40/IRDC_Share,193/376,2023,3,22,193,376,51.33
2023/3/25,22:00:20,ABUD/vi_irdc,192/256,2023,3,22,192,256,75
2023/3/25,22:00:20,SG2/IRDCSG,40/40,2023,3,22,40,40,100
2023/3/26,14:00:24,SH40/IRDC_Share,153/376,2023,3,14,153,376,40.69
2023/3/26,14:00:24,ABUD/vi_irdc,128/256,2023,3,14,128,256,50
2023/3/26,14:00:24,SG2/IRDCSG,40/40,2023,3,14,40,40,100
2023/3/26,18:00:23,SH40/IRDC_Share,153/376,2023,3,18,153,376,40.69
2023/3/26,18:00:23,ABUD/vi_irdc,160/256,2023,3,18,160,256,62.5
2023/3/26,18:00:23,SG2/IRDCSG,40/40,2023,3,18,40,40,100
2023/3/26,22:00:21,SH40/IRDC_Share,153/376,2023,3,22,153,376,40.69
2023/3/26,22:00:21,ABUD/vi_irdc,160/256,2023,3,22,160,256,62.5
2023/3/26,22:00:21,SG2/IRDCSG,40/40,2023,3,22,40,40,100
2023/3/27,10:00:17,SH40/IRDC_Share,200/376,2023,3,10,200,376,53.19
2023/3/27,10:00:17,ABUD/vi_irdc,128/256,2023,3,10,128,256,50
2023/3/27,10:00:17,SG2/IRDCSG,40/40,2023,3,10,40,40,100
2023/3/27,14:00:19,SH40/IRDC_Share,234/376,2023,3,14,234,376,62.23
2023/3/27,14:00:19,ABUD/vi_irdc,128/256,2023,3,14,128,256,50
2023/3/27,14:00:19,SG2/IRDCSG,40/40,2023,3,14,40,40,100
2023/3/27,18:00:22,SH40/IRDC_Share,305/376,2023,3,18,305,376,81.12
2023/3/27,18:00:22,ABUD/vi_irdc,160/256,2023,3,18,160,256,62.5
2023/3/27,18:00:22,SG2/IRDCSG,40/40,2023,3,18,40,40,100
2023/3/27,22:00:22,SH40/IRDC_Share,296/376,2023,3,22,296,376,78.72
2023/3/27,22:00:22,ABUD/vi_irdc,160/256,2023,3,22,160,256,62.5
2023/3/27,22:00:22,SG2/IRDCSG,32/40,2023,3,22,32,40,80
2023/3/28,10:00:18,SH40/IRDC_Share,328/376,2023,3,10,328,376,87.23
2023/3/28,10:00:18,ABUD/vi_irdc,176/256,2023,3,10,176,256,68.75
2023/3/28,10:00:18,SG2/IRDCSG,40/40,2023,3,10,40,40,100
2023/3/28,14:00:28,SH40/IRDC_Share,296/376,2023,3,14,296,376,78.72
2023/3/28,14:00:28,ABUD/vi_irdc,176/256,2023,3,14,176,256,68.75
2023/3/28,14:00:28,SG2/IRDCSG,40/40,2023,3,14,40,40,100
2023/3/28,18:00:19,SH40/IRDC_Share,368/376,2023,3,18,368,376,97.87
2023/3/28,18:00:19,ABUD/vi_irdc,160/256,2023,3,18,160,256,62.5
2023/3/28,18:00:19,SG2/IRDCSG,40/40,2023,3,18,40,40,100
2023/3/29,10:00:22,SH40/IRDC_Share,360/376,2023,3,10,360,376,95.74
2023/3/29,10:00:22,ABUD/vi_irdc,176/256,2023,3,10,176,256,68.75
2023/3/29,10:00:22,SG2/IRDCSG,40/40,2023,3,10,40,40,100
2023/3/29,14:00:23,SH40/IRDC_Share,369/376,2023,3,14,369,376,98.14
2023/3/29,14:00:23,ABUD/vi_irdc,112/256,2023,3,14,112,256,43.75
2023/3/29,14:00:23,SG2/IRDCSG,40/40,2023,3,14,40,40,100
2023/3/29,18:00:23,SH40/IRDC_Share,281/376,2023,3,18,281,376,74.73
2023/3/29,18:00:23,ABUD/vi_irdc,80/256,2023,3,18,80,256,31.25
2023/3/29,18:00:23,SG2/IRDCSG,32/40,2023,3,18,32,40,80
2023/3/29,22:00:23,SH40/IRDC_Share,264/376,2023,3,22,264,376,70.21
2023/3/29,22:00:23,ABUD/vi_irdc,80/256,2023,3,22,80,256,31.25
2023/3/29,22:00:23,SG2/IRDCSG,40/40,2023,3,22,40,40,100
2023/3/30,10:00:18,SH40/IRDC_Share,152/376,2023,3,10,152,376,40.43
2023/3/30,10:00:18,ABUD/vi_irdc,64/256,2023,3,10,64,256,25
2023/3/30,10:00:18,SG2/IRDCSG,24/40,2023,3,10,24,40,60
2023/3/30,14:00:18,SH40/IRDC_Share,334/376,2023,3,14,334,376,88.83
2023/3/30,14:00:18,ABUD/vi_irdc,64/256,2023,3,14,64,256,25
2023/3/30,14:00:18,SG2/IRDCSG,40/40,2023,3,14,40,40,100
